Level 1,Level 2 ,Cell Type ,Effect ID,Experiment ID,Term,platform_id,comparison_id,Estimate,-log(FDR),stage,Group Size,Disease Name,fdr
Epithelial,Epithelial cell,granular cell of epidermis,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,-0.000714773,0.019437355,datasets,19 | 14,atopic,0.956230616
Immune,B cell,plasma cell,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,-0.000867387,0.642266066,datasets,19 | 14,atopic,0.227894547
Immune,B cell,B cell,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,-0.000867387,0.642266066,datasets,19 | 14,atopic,0.227894547
Immune,Dendritic cell,conventional dendritic cell 2,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,0.002507935,1.279123369,datasets,19 | 14,atopic,0.052586786
Immune,Dendritic cell,Langerhans cell,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,-0.000887219,1.279123369,datasets,19 | 14,atopic,0.052586786
Immune,Dendritic cell,migratory conventional dendritic cell,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,-0.000868330,0.642266066,datasets,19 | 14,atopic,0.227894547
Immune,Dendritic cell,dendritic cell,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,0.000334844,0.049322639,datasets,19 | 14,atopic,0.892642090
Immune,Granulocyte,mast cell,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,-0.000176106,0.120184497,datasets,19 | 14,atopic,0.758255384
Immune,Granulocyte,granulocyte,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,-0.000176106,0.120184497,datasets,19 | 14,atopic,0.758255384
Immune,Innate lymphoid cell,innate lymphoid cell,AD,GSE60709,DZ_vs_HC,skin_v1,AD__GSE60709__GPL6947__AD_vs_HC,5.899466550e-08,0.642266066,datasets,19 | 14,atopic,0.227894547
